sentence,in_task,acc
Ksiê¿yc kr¹¿y wokó³ Ziemi,False,1
Architekt projektuje budynki ,True,1
Gimnastyka wymaga elastycznoœci,False,1
Ksiê¿yc w pe³ni jest kwadratowy,False,1
Rolkami jeŸdzi siê po wodzie,True,1
Bóbr jest gatunkiem ptaka,False,1
Lekarz leczy ludzi,True,1
Dziobak to ssak wodny,True,1
Szympans potrafi u¿ywaæ narzêdzi,False,1
Francuski to nauka jêzyka obcego,False,1
Sarna poluje w nocy,True,1
Ramiê ³¹czy rêkê z tu³owiem. ,False,1
Koperek roœnie na drzewie,True,1
Wêdkarze ³api¹ ryby rêkoma,False,1
Roleta zas³ania okno. ,False,1
Szpinak jest zielony,True,1
Nozdrza umo¿liwiaj¹ oddychanie.,True,1
Ramiona s¹ czêœci¹ nóg. ,False,1
Œliwa daje œliwki,False,1
D³oñ umo¿liwia chwytanie.,True,1
Na plastyce siê rysuje,True,1
Jemio³a to zwierzê,True,1
Gwiazda to kula gazowa,False,1
Oliwa z oliwek jest zdrowa,False,1
Kucyk potrafi lataæ,False,1
Nawigacja pomaga w podró¿owaniu,True,1
Ryba potrafi biegaæ,False,1
Chipsy to zdrowa przek¹ska,False,1
Matura to rodzaj musicalu,True,1
Papuga umie mówiæ,False,1
Klej s³u¿y do klejenia,False,1
Ry¿ jest popularny w Azji,True,1
Drzewa rosn¹ w górê,False,1
Makaron jest w³oskim daniem,True,1
Akwarele to farby wodne,False,1
Pacha znajduje siê pod rêk¹. ,False,1
Fotograf sprz¹ta chodniki,True,1
Opony s¹ wymagane w samochodzie,False,1
Pielêgniarka dba o pacjentów ,True,1
W¹¿ posiada cztery nogi,True,1
Programista pisze programy ,False,1
Trener leczy choroby ,False,1
Chleb jest z m¹ki,True,1
Osa to gatunek ryby,False,1
Oczy to czêœæ g³owy.,True,1
Wyspy s¹ zawsze otoczone wod¹,False,1
Paliwo jest potrzebne do jazdy,False,1
Dzik poluje na ludzi,False,1
Na geografii uczy siê o ziemi,True,1
Wiewiórka potrafi p³ywaæ,True,1
Koala lubi miêso,False,1
Panda jest ró¿owa,True,1
Kwiat umie tañczyæ,True,1
Na olimpiadzie ka¿dy wygrywa,False,1
Czarna wdowa jest ró¿owa,True,1
Nauczyciel uczy w szkole,False,1
Sufit jest nad g³ow¹,True,1
Pêpek jest na brzuchu,True,1
Jab³oñ daje jab³ka,False,1
Oko umo¿liwia dotyk.,True,1
Ptak potrafi lataæ,True,0
Miesi¹c sk³ada siê z 30 dni. ,True,1
Ostrokrzew jest krzewem,True,1
W styczniu s¹ d³ugie dni. ,False,1
MMA to mieszane sztuki walki,True,1
Sa³atka jest lekkim posi³kiem,True,1
Jajka pochodz¹ od kur,True,1
Kiwi jest owocem,True,1
Lawa to p³ynna ska³a,False,1
S³oñce œwieci w nocy,True,1
We wrzeœniu zaczyna siê zima. ,False,1
Rzut dyskiem to uderzanie pi³k¹,True,1
Jeziora s¹ g³êbsze od oceanów,True,1
£azienka s³u¿y do k¹pieli. ,False,1
Prawnik broni klientów,False,1
Czo³o znajduje siê na potylicy. ,True,1
Lawenda jest zielona,False,1
¯o³¹dek trawi pokarm. ,False,1
Kamieñ umie p³ywaæ,True,1
Bu³ki to rodzaj miêsa,True,1
Socjolog bada spo³eczeñstwo,True,1
Sutki s¹ widoczne u mê¿czyzn. ,False,1
W paintballu u¿ywa siê kulek,False,1
Terapeuta gotuje obiady,False,1
Rekin jest ryb¹,False,1
W¹troba magazynuje energiê. ,False,1
Mózg kontroluje cia³o.,True,1
Kurczak jest bia³ym miêsem,False,1
Szalik siê nosi w zimie,True,1
Szorty s¹ popularne latem. ,False,1
Jêzyk umo¿liwia smakowanie. ,True,1
