sentence,in_task,acc
Pi³ka no¿na wymaga pi³ki,True,0
Jab³ecznik jest bezkaloryczny,False,1
Byk to ssak roœlino¿erny,False,1
Dzik poluje na ludzi,True,1
Kostka do gry s³u¿y do pisania,True,1
Dentysta leczy zêby,False,1
Orka to ssak wodny,True,0
¯ó³w potrafi lataæ,False,1
Pingwin potrafi lataæ,True,0
Prawnik broni klientów,False,1
Zazdroœæ to cecha ludzka,False,1
Bocian przynosi dzieci,True,1
Koszykówka grana jest na boisku,True,1
Buty nosi siê na stopach,False,0
Paj¹k potrafi lataæ,True,1
Alpaka to gatunek owada,False,1
Mechanik naprawia samochody,False,0
Kurczak jest bia³ym miêsem,False,1
Sos pomidorowy jest z pomidorów,False,1
Okno umo¿liwia dostêp œwiat³a.,False,1
Œwierk jest drzewem iglastym,False,1
Barista pisze ksi¹¿ki,True,1
Cukier szkodzi na zêby,False,1
Akwarele to farby wodne,True,1
Kot to drapie¿nik,True,1
Dorsz to ryba morska,True,1
Oko umo¿liwia dotyk.,True,1
Poœladki s¹ na koñcu nogi. ,False,1
Buraki s¹ owocami,True,1
Zderzak chroni pojazd,True,1
Stewardessa buduje koœcio³y,True,1
Osa to gatunek ryby,True,1
Terapeuta gotuje obiady,False,1
Szyba chroni przed wiatrem.,True,1
Sowa jest nocnym ptakiem,False,1
Gimnastyka wymaga elastycznoœci,False,1
Szklarz piecze ciasta,True,1
Go³¹b potrafi lataæ,False,1
Geolog bada ziemiê,True,1
W styczniu s¹ d³ugie dni. ,True,0
Komputer s³u¿y do liczenia,False,1
Kozaki to rodzaj obuwia,False,1
Sweter chroni przed zimnem. ,True,1
Wiatr jest niewidzialny,True,1
Matematyka to nauka liczb,False,1
Wilk poluje w grupach,True,1
Paproæ jest niebieska,True,0
Papuga umie mówiæ,False,0
Wycieraczki wycieraj¹ szybê,False,1
Ziemniaki rosn¹ pod ziemi¹,False,1
Krótkie dni s¹ w czerwcu,True,1
Pizza pochodzi z Japonii,True,1
Aloes roœnie na Ksiê¿ycu,False,1
W¹troba magazynuje energiê. ,True,1
Dziennikarz pisze artyku³y ,False,1
Œliwa daje œliwki,False,1
Drzwi s¹ na pod³odze,True,0
Szorty s¹ popularne latem. ,False,1
W sierpniu s¹ d³ugie noce.,True,1
Wiewiórka potrafi p³ywaæ,False,1
Ochroniarz buduje budynki,False,1
Jelita trawi¹ pokarm. ,True,1
Pacha znajduje siê pod rêk¹. ,True,1
Ostrokrzew jest krzewem,False,1
W ka¿dym miesi¹cu jest 28 dni. ,True,1
Sprzedawca obs³uguje klientów,False,1
Klamka otwiera okno,True,1
Marynarkê nosi siê na nogach,True,1
Krew transportuje substancje. ,False,1
Piêta jest czêœci¹ stopy. ,True,1
Ucho umo¿liwia s³yszenie. ,False,1
Szympans potrafi u¿ywaæ narzêdzi,False,1
Zegarmistrz piecze potrawy,False,1
Fryzjer obcina w³osy,True,0
£abêdŸ to gatunek ptaka,True,1
Miêœnie umo¿liwiaj¹ ruch. ,False,1
Sutki s¹ widoczne u mê¿czyzn. ,True,1
Klatka piersiowa chroni serce.,True,1
Jastrz¹b potrafi p³ywaæ,False,1
Piekarz pracuje na recepcji,True,1
Bo¿e Narodzenie jest w maju,False,1
Silnik jest w samolocie,True,1
Opony s¹ wymagane w samochodzie,True,1
Architekt projektuje budynki ,False,0
Woda jest niezbêdna do ¿ycia,False,1
Gard³o ³¹czy nos z prze³ykiem. ,False,1
Jubiler sprz¹ta pokoje,False,1
Ogrodnik pielêgnuje roœliny,True,1
Lis to zwierzê miêso¿erne,False,1
Skóra chroni cia³o,False,1
Artysta tworzy dzie³a sztuki. ,True,1
Mango roœnie w polsce,False,1
Kwiat umie tañczyæ,True,1
Ryœ to gatunek ptaka,True,1
Pluton jest najbli¿ej S³oñca,True,1
W listopadzie opadaj¹ liœcie.,True,1
Jab³ka s¹ zdrowe,False,1
Lawa to p³ynna ska³a,True,0
Nozdrza umo¿liwiaj¹ oddychanie.,True,1
Mózg kontroluje cia³o.,True,0
Pokojówka uczy nurkowania,False,1
Jêzyk umo¿liwia smakowanie. ,True,1
Bu³ki to rodzaj miêsa,False,1
Serce pompuje krew,True,1
G³owa zawiera mózg. ,True,1
Spadochroniarstwo to sport wodny,True,1
Motyl potrafi lataæ,False,1
Wêdkarze ³api¹ ryby rêkoma,False,1
Niebo jest zielone,True,0
Na geografii uczy siê o ziemi,True,1
Trawa jest zielona,True,0
Szachy s¹ sportem umys³owym,True,1
Têtnica prowadzi krew z serca. ,True,1
Lekarz leczy ludzi,True,1
Koala lubi miêso,False,1
Goryl to gatunek ptaka,True,0
Delfin potrafi lataæ,False,0
Jab³oñ daje jab³ka,True,1
Biegi prze³ajowe to wyœcigi,False,1
Œwierszcz jest owadem,False,1
Makaron jest w³oskim daniem,True,1
Sa³atka jest lekkim posi³kiem,False,1
Brzuch jest czêœci¹ cia³a. ,False,1
Gepard jest drapie¿nikiem,False,1
Muzyka to nauka o dŸwiêkach,False,1
Aligator p³ywa w wodzie,False,1
Reflektor oœwietla drogê ,True,0
Sufit jest nad g³ow¹,True,0
Garnitur jest strojem formalnym,True,1
Hydraulik tañczy na rurze,False,1
Lawenda jest zielona,False,0
Dziobak to ssak wodny,False,1
W¹¿ posiada cztery nogi,False,1
Hiena poluje w stadach,False,1
W¹troba produkuje krew. ,False,0
Rêkawiczki nosi siê na rêkach,True,1
NiedŸwiedŸ to drapie¿nik,True,1
Policjant pilnuje porz¹dku,False,1
In¿ynier projektuje mosty,True,0
Szpinak jest zielony,False,1
Ko³o zapasowe jest okr¹g³e,True,0
Bambus roœnie w Polsce,True,0
Ksiê¿yc kr¹¿y wokó³ Ziemi,False,1
Chipsy to zdrowa przek¹ska,False,1
Kamieñ umie p³ywaæ,True,1
Kie³basa jest z miêsa,False,1
Jaguar to gatunek kota,False,1
Dyrektor sprz¹ta szko³ê,False,1
Nietoperz potrafi lataæ,True,0
¯y³a odprowadza krew do serca. ,True,1
Œwinia potrafi siê wspinaæ,True,1
D³ugopis s³u¿y do pisania,False,1
Spódnica jest po¿ywieniem,True,0
Przebiœnieg przebija œnieg,True,1
Klej s³u¿y do klejenia,True,1
Szalik siê nosi w zimie,True,0
Czo³o znajduje siê na potylicy. ,False,1
Kostka stabilizuje stopê. ,True,1
Koñ to zwierzê kopytne,False,1
Brew to czêœæ rêki,True,0
Fotograf robi zdjêcia,True,0
Banany rosn¹ na drzewach,False,1
Hipopotam to roœlino¿erca,False,1
Orkiestra buduje budynki,True,0
Matura to rodzaj musicalu,False,1
Rzut dyskiem to uderzanie pi³k¹,True,0
Sarna poluje w nocy,False,1
W hokeju u¿ywa siê nart,False,1
Piórnik przechowuje przybory,False,1
Wyspy s¹ zawsze otoczone wod¹,False,1
Ryba potrafi biegaæ,True,1
Drzewa rosn¹ w górê,True,0
Programista pisze programy ,False,1
Boks polega na walce,False,1
W kwietniu rosn¹ kwiaty. ,True,0
Wœciek³oœæ to negatywna emocja,True,1
Jajka pochodz¹ od kur,False,1
Astronom obserwuje gwiazdy,True,1
Kucyk potrafi lataæ,False,0
Kret kopie tunele,False,1
Karaluch jest ssakiem,True,0
Ping pong nie wymaga paletek,False,1
Deszcz jest mokry,False,1
Pod³oga jest pod stopami,True,1
Pilot projektuje suknie œlubne,False,0
